game_name,primary_genre,age_group,release_year,age_years,cur_players,peak_players,hours_played,hours_per_player,hours_per_player_per_year,monetization,price_eur
Melvor Idle,Adventure,All ages,2020,6,1747,2329,1323166,568.1,94.69,Paid,9.75
Idle Champions of the Forgotten Realms,Action,All ages,2020,6,4506,5998,3316414,552.9,92.15,Free-to-play,0.0
Leaf Blower Revolution - Idle Game,Casual,All ages,2020,6,3609,4250,2289310,538.7,89.78,Free-to-play,0.0
YoloMouse,Animation & Modeling,All ages,2020,6,2859,4094,2089978,510.5,85.08,Paid,4.05
Mr.Mine,Adventure,All ages,2020,6,1439,2582,1261353,488.5,81.42,Free-to-play,0.0
Shop Titans,Adventure,All ages,2020,6,3766,6574,3207720,487.9,81.32,Free-to-play,0.0
Persona 4 Golden,RPG,All ages,2020,6,1810,2396,1158092,483.3,80.56,Paid,9.99
RuneScape,Action,All ages,2020,6,6816,9292,4484394,482.6,80.43,Paid,29.99
tModLoader,Action,All ages,2020,6,9267,15859,7541944,475.6,79.26,Free-to-play,0.0
NGU IDLE,Adventure,All ages,2019,7,5308,7256,3877054,534.3,76.33,Free-to-play,0.0
Noita,Action,All ages,2020,6,1906,3090,1386383,448.7,74.78,Paid,22.79
Slay the Spire,Indie,All ages,2019,7,5454,7304,3787731,518.6,74.08,Paid,0.0
Phantasy Star Online 2,Action,18+,2020,6,5128,6985,3070863,439.6,73.27,Free-to-play,0.0
Dyson Sphere Program,Indie,All ages,2021,5,6535,14543,5324243,366.1,73.22,Paid,16.79
Factorio,Casual,All ages,2020,6,8383,17173,7197691,419.1,69.85,Paid,32.0
Mount & Blade II: Bannerlord,Action,All ages,2020,6,10192,23396,9722697,415.6,69.26,Paid,49.99
EVGA Precision X1,Utilities,All ages,2018,8,2246,2545,1406097,552.5,69.06,Free-to-play,0.0
Red Dead Online,Action,All ages,2020,6,1999,4187,1723623,411.7,68.61,Paid,19.99
Hades,Action,All ages,2020,6,5565,11114,4574825,411.6,68.6,Paid,28.99
Your Chronicle,RPG,All ages,2021,5,2491,2898,991517,342.1,68.43,Free-to-play,0.0
Crusader Kings III,RPG,All ages,2020,6,7953,19749,8077057,409.0,68.16,Paid,49.99
Deep Rock Galactic,Action,All ages,2020,6,5309,9049,3692649,408.1,68.01,Paid,29.99
Empyrion - Galactic Survival,Adventure,All ages,2020,6,1511,2903,1181406,407.0,67.83,Paid,19.99
Football Manager 2021,Simulation,All ages,2020,6,24324,80787,32464806,401.9,66.98,Paid,5.49
Borderlands 3,Action,18+,2020,6,4376,11121,4418583,397.3,66.22,Paid,15.99
Apex Legends,Action,All ages,2020,6,104844,217728,86192250,395.9,65.98,Free-to-play,0.0
Nioh 2 – The Complete Edition,Action,18+,2021,5,4754,12239,3994188,326.3,65.27,Paid,59.99
Squad,Action,All ages,2020,6,5448,9996,3892417,389.4,64.9,Paid,48.99
Lords Mobile,Massively Multiplayer,All ages,2019,7,2891,5608,2505707,446.8,63.83,Free-to-play,0.0
Valheim,Action,All ages,2021,5,48572,159037,50626645,318.3,63.67,Paid,19.99
Dota Underlords,Casual,All ages,2019,7,2346,6316,2804790,444.1,63.44,Free-to-play,0.0
Granado Espada,Massively Multiplayer,All ages,2017,9,1720,2136,1198050,560.9,62.32,Free-to-play,0.0
Aim Lab,Action,All ages,2018,8,6036,8666,4308664,497.2,62.15,Free-to-play,0.0
Baldur's Gate 3,Adventure,18+,2020,6,1881,3756,1394165,371.2,61.86,Paid,79.99
Kenshi,Action,All ages,2018,8,2752,3843,1897856,493.8,61.73,Paid,26.99
Cyberpunk 2077,RPG,18+,2020,6,8879,25322,9277372,366.4,61.06,Paid,59.99
RimWorld,Indie,All ages,2018,8,12895,20736,10117029,487.9,60.99,Paid,31.99
Football Manager 2020,Simulation,All ages,2019,7,6907,20409,8599517,421.4,60.19,Paid,4.49
Oxygen Not Included,Indie,All ages,2019,7,4486,9348,3937287,421.2,60.17,Paid,22.99
People Playground,Action,All ages,2019,7,2448,4986,2087510,418.7,59.81,Paid,8.19
Insurgency: Sandstorm,Action,All ages,2018,8,2818,3900,1813040,464.9,58.11,Paid,29.99
Wallpaper Engine,Casual,All ages,2018,8,30397,54493,25022993,459.2,57.4,Paid,4.29
They Are Billions,Strategy,All ages,2019,7,1812,4099,1644435,401.2,57.31,Paid,22.49
Fallout 76,RPG,18+,2020,6,6005,8140,2797163,343.6,57.27,Paid,39.99
Beasts of Bermuda,Adventure,All ages,2018,8,1605,2378,1088514,457.7,57.22,Paid,19.99
Microsoft Flight Simulator,Simulation,All ages,2020,6,3805,10664,3628651,340.3,56.71,Paid,79.99
Yu-Gi-Oh! Duel Links,Strategy,All ages,2017,9,8378,11477,5840508,508.9,56.54,Free-to-play,0.0
DOOM Eternal,Action,18+,2020,6,1985,5696,1921522,337.3,56.22,Paid,53.49
Beat Saber,Indie,All ages,2019,7,1626,2958,1161229,392.6,56.08,Paid,29.99
DRAGON BALL FighterZ,Action,All ages,2018,8,2048,2833,1261569,445.3,55.66,Paid,79.99
Space Engineers,Action,All ages,2019,7,5416,10978,4261675,388.2,55.46,Paid,16.99
Unturned,Action,All ages,2017,9,16885,30984,15348864,495.4,55.04,Free-to-play,0.0
Phasmophobia,Action,All ages,2020,6,13051,23424,7666315,327.3,54.55,Paid,19.5
Age of Empires III: Definitive Edition,Strategy,All ages,2020,6,4342,9192,2979493,324.1,54.02,Free-to-play,0.0
F1 2020,Utilities,All ages,2020,6,3510,17429,5602335,321.4,53.57,Paid,6.99
MORDHAU,Action,All ages,2019,7,5889,6764,2535411,374.8,53.55,Paid,28.99
BATTLETECH,Action,All ages,2018,8,2281,3681,1553240,422.0,52.75,Paid,52.99
Aseprite,Animation & Modeling,All ages,2016,10,2004,2749,1450017,527.5,52.75,Paid,16.79
Albion Online,Massively Multiplayer,All ages,2017,9,7258,12383,5863304,473.5,52.61,Free-to-play,0.0
ROMANCE OF THE THREE KINGDOMS XIV,Simulation,All ages,2020,6,1775,3860,1218126,315.6,52.6,Paid,59.99
